Year,主权_Mean_Cosine_Similarity,偏见_Mean_Cosine_Similarity,分裂_Mean_Cosine_Similarity,创伤_Mean_Cosine_Similarity,恐怖主义_Mean_Cosine_Similarity,欺凌_Mean_Cosine_Similarity,精神病_Mean_Cosine_Similarity,阴谋_Mean_Cosine_Similarity,主权_Semantic_Breadth,偏见_Semantic_Breadth,分裂_Semantic_Breadth,创伤_Semantic_Breadth,恐怖主义_Semantic_Breadth,欺凌_Semantic_Breadth,精神病_Semantic_Breadth,阴谋_Semantic_Breadth
2001,0.29759243,0.28141433,0.28666094,0.26591083,0.27877897,0.3021186,0.2499766,0.2893426,3.360300514393556,3.5534793127981006,3.488441787364152,3.7606591077129057,3.5870711450492663,3.3099584134737268,4.000374352200804,3.4561103633874968
2002,0.31699482,0.2798695,0.29476625,0.27356696,0.29101962,,0.25237164,0.2858692,3.154625720426517,3.5730939289705246,3.392518679642339,3.6554121714485417,3.4361944569778715,,3.962410371901329,3.4981031942794227
2003,0.29703704,0.2992949,0.285975,0.27641118,0.28883407,,0.25469252,0.2722937,3.366583561663902,3.3411863578112198,3.4968090491092445,3.617798728169388,3.4621954973052613,,3.9263029069642954,3.672505269978307
2004,0.25449768,0.22481355,0.24408296,0.20628837,0.23537724,0.24102035,0.20648018,0.23470181,3.929308948682743,4.448130447825815,4.09696772858335,4.847583080283432,4.248499183237371,4.149027221813557,4.843079965215257,4.260725515238431
2005,0.28532183,0.28238338,0.2899346,0.26333478,0.28502753,0.30167642,0.26286003,0.27934775,3.504814174333066,3.541284872299454,3.4490536193781813,3.797447479071245,3.5084329811039114,3.314809928416478,3.804306041675855,3.5797675432115823
2006,0.2907722,0.28663242,0.2936783,0.27070272,0.2756045,,0.25976658,0.2748256,3.439118324481976,3.488788898237308,3.4050862935827726,3.694089225076944,3.628387958500617,,3.8496099271252087,3.638671178818205
2007,0.28373384,0.25470385,0.27673164,0.24638925,0.26087663,,0.24536727,0.25881058,3.5244297375103564,3.9261283319855993,3.6136091978384095,4.058618547686672,3.833229585150831,,4.075523133008659,3.8638296813930335
2008,0.2721275,0.2725173,0.25817254,0.24565738,0.2668533,,0.25044513,0.27004823,3.674747926971212,3.6694918933531695,3.873378604897497,4.070710117102076,3.747377266151827,,3.992890618529516,3.703042218485949
2009,0.2644482,0.27253267,0.26864418,0.24250728,0.27544576,0.25659773,0.24103378,0.26769474,3.781458963516728,3.66928483766352,3.7223958679430673,4.123587565934892,3.630478837482713,3.897150647428087,4.148796114717422,3.7355982207318914
2010,0.2608419,0.26916224,0.26332903,0.2379315,0.26365802,0.2488872,0.22883612,0.25521973,3.833739812225261,3.7152314111829305,3.797530426027767,4.202890242083937,3.792791934345327,4.0178844686887984,4.369939516564897,3.918192409332684
2011,0.26266727,0.26138362,0.25744644,0.24399737,0.2718813,0.24659492,0.24217272,0.26362032,3.8070978757838265,3.825794397382431,3.8843031097292817,4.098404911182624,3.678075525525377,4.055233566614427,4.129284289576331,3.793334335711532
2012,0.27322635,0.2715498,0.25694793,0.22927837,0.2722056,0.26428872,0.25162977,0.25671226,3.659969098888465,3.682565896876093,3.891839027426244,4.361510406677597,3.673693826732287,3.7837407017410127,3.974092575717487,3.8954119617350416
2013,0.28538764,0.28002912,0.26268283,0.24668074,0.27217633,0.29357135,0.23120557,0.26179996,3.504006048441837,3.5710572062078594,3.806872408789798,4.05382282386189,3.674088842296962,3.406326911402531,4.325155357943761,3.819710266286864
2014,0.29528886,0.27388355,0.26735497,0.25648832,0.2680731,0.2620858,0.25391164,0.2685699,3.3865144702646783,3.6511867727630674,3.740345720584144,3.898812965355692,3.730325631645259,3.8155444420943945,3.9383778679018353,3.7234256317613417
2015,0.27666476,0.28175455,0.26313943,0.2604072,0.26625845,0.25501725,0.24598555,0.26198378,3.6144826925771993,3.5491884273872727,3.800266697049684,3.840139458189552,3.7557493711489767,3.9213033508750015,4.065279400157901,3.8170301694389663
2016,0.2816213,0.27819002,0.2672671,0.24283582,0.26517838,0.25029773,0.23936215,0.25807726,3.550867688864013,3.5946652999815307,3.74157526386051,4.118008624707881,3.7710464592246944,3.9952420630205183,4.17776995318901,3.874808594726153
2017,0.28077185,0.27504265,0.27968577,0.24167232,0.27394453,0.25570142,0.25460398,0.27162296,3.5616105906503885,3.635799716109178,3.575441167679681,4.13783420081753,3.650374078565474,3.910811248035528,3.927668343030837,3.681573956288208
2018,0.28523958,0.26990247,0.26865417,0.24944828,0.28247693,0.2510373,0.23828255,0.27732298,3.5058248560346343,3.70504207841859,3.722257535549797,4.008846971937178,3.540112084873817,3.983471784718168,4.196698478775796,3.605903874249564
2019,0.2812227,0.28960803,0.27226502,0.23403187,0.26999936,0.24328041,,0.27411053,3.555900701421367,3.4529429131559093,3.6728919892054224,4.272922298543839,3.70371255039502,4.110483030051196,,3.648163443968077
2020,0.2882043,0.28578618,0.28709322,0.23206925,0.27535954,0.26394743,,,3.469760712233825,3.499119495884672,3.483189162536008,4.309058537923439,3.6316155805710095,3.7886332529639457,,
2021,0.28690043,0.27933365,0.28181833,0.2342924,0.27509868,0.2590772,,0.27313074,3.4855297944349206,3.5799481952295995,3.5483852273849665,4.268170831738811,3.6350592257642367,3.859853485280659,,3.6612502232740303
