Year,图书馆_Mean_Cosine_Similarity,米饭_Mean_Cosine_Similarity,衣服_Mean_Cosine_Similarity,运输_Mean_Cosine_Similarity,图书馆_Semantic_Breadth,米饭_Semantic_Breadth,衣服_Semantic_Breadth,运输_Semantic_Breadth
1993,0.666910767,0.71384144,0.737195567,0.6921052,1.4997337664232284,1.400871322895806,1.3566030244322818,1.4451326583762767
1994,0.671670714,0.75098616,0.736994593,0.6935918,1.489059045308848,1.3315824642284186,1.357067938882218,1.4422337618142436
1995,0.656944882,0.7402836,0.748752528,0.664680712,1.523241373098343,1.350833638086239,1.3356990634710413,1.504974715929357
1996,0.683527667,0.66630733,0.73517264,0.676773837,1.4638922236877816,1.500808943228341,1.3607118745353914,1.478303880881578
1997,0.664729766,0.66378456,0.722695568,0.6831800020000001,1.5049950927367914,1.5065128882552143,1.3838492839741925,1.464587307775966
1998,0.6736695690000001,0.7148383,0.72180551,0.672932389,1.485386366867176,1.398917718398495,1.3863861807537996,1.4873076931958982
1999,0.656331837,0.71229744,0.725078026,0.680742378,1.524376499787417,1.403907896392814,1.3793218333823076,1.4700162034363047
2000,0.670074246,0.7410752,0.717202176,0.666363865,1.492940250292834,1.349390690828146,1.3946230351700906,1.5009147053470056
2001,0.6824570910000001,0.7294853,0.718385623,0.67988111,1.4669054902765108,1.3708295924773906,1.3921856760398594,1.4712241060928088
2002,0.691725323,0.71012604,0.732332464,0.6822915970000001,1.4464621768258843,1.408200714155135,1.3656852875320482,1.4668733789655573
2003,0.667602802,0.7165327,0.714117887,0.67171299,1.4988428793119828,1.395609704807018,1.4005099125498588,1.4893307869702181
2004,0.609347716,0.6643166,0.637176336,0.629147627,1.642013662050656,1.5053063676681189,1.569766186739769,1.5898442500162773
2005,0.6612587249999999,0.687043,0.715137903,0.673872614,1.5135114373679068,1.4555129500118378,1.398576631526675,1.4850859657447
2006,0.671938195,0.7133234,0.716756972,0.667837733,1.4886433694775059,1.4018886523517158,1.3954315537103816,1.4982471673960052
2007,0.6539849249999999,0.6896737,0.694533622,0.657496903,1.5296550127277118,1.449961000984806,1.4398913669268796,1.5214770260090587
2008,0.663117077,0.6730802,0.695555786,0.684312994,1.5085400808283196,1.4857070393818432,1.438186745232086,1.4614453723251386
2009,0.6535717400000001,0.6744488,0.701144592,0.656926376,1.5305217758873166,1.4826922629947772,1.4266403643117287,1.5225230342505656
2010,0.649439446,0.6482184,0.703360586,0.666030464,1.5405964874587001,1.542689948783022,1.4221765764184142,1.5018385871355036
2011,0.659986423,0.70241433,0.7033676950000001,0.659898369,1.515699192634964,1.423661152472681,1.4220023954071557,1.515666904073184
2012,0.67994241,0.6817330540000001,0.709823586,0.670569007,1.470895168312796,1.4669646861883165,1.410179138588664,1.4918755898748908
2013,0.673855823,0.693991647,0.70879158,0.68218309,1.4849056408742645,1.4411283017721686,1.4111488097627807,1.4661420354097192
2014,0.665732045,0.705852864,0.7005168669999999,0.685852606,1.502578882297923,1.4168016278590652,1.4278011192107125,1.458406840490709
2015,0.661284088,0.73428214,0.7197720910000001,0.683991,1.5127853376385136,1.3618743409682923,1.3897164310234222,1.46248408659037
2016,0.657066441,0.702440556,0.7037465199999999,0.679840831,1.5225350970209042,1.4238146753106018,1.4211484203794824,1.471471596722245
2017,0.663842289,0.690390468,0.70736083,0.679794195,1.5073788329299471,1.4486463395081295,1.413926200406553,1.4715890759290855
2018,0.65659808,0.6730755310000001,0.705179809,0.682409017,1.5240917736769282,1.4858617792525952,1.4183398217345455,1.4657512816469471
2019,0.653653865,0.671038595,0.642149779,0.638154426,1.5305192763542117,1.4904651542719836,1.5575983400134925,1.5681030995888374
2020,0.607176512,0.70110848,0.70463746,0.6425867430000001,1.6477258052609667,1.4265086254819919,1.4193397766715488,1.556985868936723
2021,0.646538563,0.690316579,0.6982481220000001,0.653514642,1.547315981326327,1.4486836853393177,1.432426260792346,1.531141997393887
2022,0.642148695,0.70836943,0.675330875,0.67286872,1.5580674868728628,1.4116927582869303,1.4811978025447277,1.4866751772279336
2023,0.6533843420000001,0.662309595,0.695456037,0.667566301,1.5317895181115744,1.5099151884646702,1.4379872247660135,1.4982246148154494
