Year,Control Word,Mean Cosine Similarity,Semantic Breadth
1990,运输,0.7092844,1.4098716467764465
1991,衣服,0.718489,1.3918097732375607
1991,米饭,0.74532664,1.341693626281598
1991,图书馆,0.6394395,1.5638695508908218
1991,运输,0.6685036,1.4958782962596213
1992,衣服,0.7316499,1.3667739629205524
1992,米饭,0.6587366,1.5180574760631016
1992,图书馆,0.6801465,1.4702714450530696
1992,运输,0.67824864,1.47438555024095
1993,衣服,0.73102903,1.367934724825009
1993,米饭,0.71384144,1.400871322895806
1993,图书馆,0.6737848,1.4841534140352557
1993,运输,0.68902254,1.4513313286989138
1994,衣服,0.7409371,1.349642205021663
1994,米饭,0.75098616,1.3315824642284186
1994,图书馆,0.66936046,1.4939633597669815
1994,运输,0.6881949,1.4530767987580802
1995,衣服,0.7367538,1.357305481139465
1995,米饭,0.7402836,1.3508336380862387
1995,图书馆,0.6412618,1.5594254562029888
1995,运输,0.67219675,1.4876596861563507
1996,衣服,0.7187857,1.3912352396170136
1996,米饭,0.66630733,1.500808943228341
1996,图书馆,0.66623384,1.5009744980764566
1996,运输,0.65167123,1.5345161068152875
1997,衣服,0.7158335,1.3969729284503776
1997,米饭,0.66378456,1.5065128882552143
1997,图书馆,0.6863096,1.4570684060361476
1997,运输,0.6920475,1.444987567427435
1998,衣服,0.7465285,1.3395335765333538
1998,米饭,0.7148383,1.3989177183984953
1998,图书馆,0.6607703,1.5133852179248461
1998,运输,0.6617345,1.5111800392413555
1999,衣服,0.7139344,1.4006888725772744
1999,米饭,0.71229744,1.403907896392814
1999,图书馆,0.6423246,1.5568451820590865
1999,运输,0.6806853,1.469107716599749
2000,衣服,0.725152,1.3790211960645837
2000,米饭,0.7410752,1.349390690828146
2000,图书馆,0.65468603,1.5274497216766971
2000,运输,0.6595752,1.5161272948559874
2001,衣服,0.72465044,1.379975697540069
2001,米饭,0.7294853,1.3708295924773906
2001,图书馆,0.67697567,1.4771579659980698
2001,运输,0.66499084,1.5037801069223458
2002,衣服,0.7325287,1.3651342512550253
2002,米饭,0.71012604,1.408200714155135
2002,图书馆,0.72291476,1.3832889598768916
2002,运输,0.6485347,1.5419375040381478
2003,衣服,0.72177595,1.3854714906802497
2003,米饭,0.7165327,1.395609704807018
2003,图书馆,0.6359094,1.5725511114710395
2003,运输,0.6803132,1.4699111476128555
2004,衣服,0.63822263,1.5668513548181997
2004,米饭,0.6643166,1.5053063676681187
2004,图书馆,0.6093679,1.6410447423225145
2004,运输,0.6301089,1.5870272761421231
2005,衣服,0.7106846,1.4070939535325302
2005,米饭,0.687043,1.4555129500118378
2005,图书馆,0.663022,1.5082456201702623
2005,运输,0.7085066,1.4114194876185016
2006,衣服,0.7044335,1.4195804130716823
2006,米饭,0.7133234,1.4018886523517158
2006,图书馆,0.677277,1.4765006900133884
2006,运输,0.65024877,1.5378729685800199
2007,衣服,0.69861645,1.431400601953495
2007,米饭,0.6896737,1.449961000984806
2007,图书馆,0.67638344,1.4784513445785366
2007,运输,0.6527557,1.5319667590230055
2008,衣服,0.69433504,1.440226889686496
2008,米饭,0.6730802,1.4857070393818432
2008,图书馆,0.6740928,1.4834752079265736
2008,运输,0.6768395,1.477455206216698
2009,衣服,0.6970451,1.4346274258034306
2009,米饭,0.6744488,1.4826922629947772
2009,图书馆,0.6583881,1.5188610381807073
2009,运输,0.65703267,1.5219943357537784
2010,衣服,0.7082967,1.4118376904898131
2010,米饭,0.6482184,1.5426899487830221
2010,图书馆,0.63454205,1.5759396925505895
2010,运输,0.6814121,1.4675407126433604
2011,衣服,0.69939035,1.4298166931612997
2011,米饭,0.70241433,1.423661152472681
2011,图书馆,0.6768949,1.477334214362776
2011,运输,0.651502,1.5349146736758708
2012,衣服,0.71847945,1.39182824743645
2012,米饭,0.6766333,1.4779053918407319
2012,图书馆,0.68324345,1.463607144530239
2012,运输,0.67774796,1.4754747367010228
2013,衣服,0.68808305,1.4533129339114517
2013,米饭,0.69603604,1.4367072125678448
2013,图书馆,0.65838397,1.5188705260346647
2013,运输,0.68620336,1.4572939415328376
2014,衣服,0.70608675,1.416256562247545
2014,米饭,0.7064626,1.4155030560703097
2014,图书馆,0.68249446,1.4652133553565185
2014,运输,0.71040994,1.4076379632310603
2015,衣服,0.7033752,1.4217162776579448
2015,米饭,0.73428214,1.3618743409682925
2015,图书馆,0.6641116,1.505770985745396
2015,运输,0.6768635,1.4774027739801874
2016,衣服,0.7029272,1.4226224843364725
2016,米饭,0.68879706,1.4518064360311271
2016,图书馆,0.6460228,1.5479329912430395
2016,运输,0.674093,1.4834748144110865
2017,衣服,0.69774395,1.4331904945079963
2017,米饭,0.70058185,1.427384968605507
2017,图书馆,0.6473751,1.5446994941236436
2017,运输,0.6646584,1.5045321913013565
2018,衣服,0.71337706,1.4017832338122105
2018,米饭,0.67248124,1.487030332209662
2018,图书馆,0.66495246,1.5038669149146056
2018,运输,0.68386346,1.4622802021210068
2019,衣服,0.6316715,1.5831013723841112
2019,米饭,0.6854535,1.4588882209662417
2019,图书馆,0.66406643,1.5058734321462723
2019,运输,0.63435954,1.576393100792114
2020,衣服,0.7098624,1.4087236969767452
2020,米饭,0.69658536,1.4355742475482731
2020,图书馆,0.6176152,1.619131075258274
2020,运输,0.6241712,1.6021245519537848
2021,衣服,0.70102465,1.4264833594955362
2021,米饭,0.68397313,1.462045730932845
2021,图书馆,0.64988714,1.5387286983010735
2021,运输,0.659858,1.5154775991863119
2022,衣服,0.6681131,1.4967525428942505
2022,米饭,0.70836943,1.4116927582869303
2022,图书馆,0.63226146,1.5816241714538848
2022,运输,0.67884016,1.4731008245816508
2023,衣服,0.69417757,1.440553607833241
2023,米饭,0.6638689,1.5063214948061892
2023,图书馆,0.6511077,1.5358441564385938
2023,运输,0.65745795,1.5210098280067095
