Year,图书馆_Mean_Cosine_Similarity,米饭_Mean_Cosine_Similarity,衣服_Mean_Cosine_Similarity,运输_Mean_Cosine_Similarity,图书馆_Semantic_Breadth,米饭_Semantic_Breadth,衣服_Semantic_Breadth,运输_Semantic_Breadth
2010,0.6809092,0.7104873,0.72805417,0.6909457,1.4686245624361365,1.4074846818359632,1.3735241784463044,1.447291765242757
2011,0.67320204,0.74915695,0.73874456,0.7183346,1.485438165414961,1.3348337720928574,1.353647875513441,1.3921088846303682
2012,0.730812,0.74583197,0.77320844,0.694394,1.3683409440558272,1.3407845802408125,1.2933123193022664,1.4401046249106653
2013,0.69590986,0.7482517,0.7190451,0.72665906,1.4369677176772075,1.3364487261801017,1.390733343971418,1.3761611953951485
2014,0.70293194,0.7439835,0.74832153,0.7354516,1.4226128339105424,1.344115817596771,1.3363239672117777,1.359708821662994
2015,0.68326235,0.78643274,0.78929627,0.7039222,1.463566670505023,1.271564553750783,1.2669513828297636,1.4206115147053031
2016,0.68605673,0.7390545,0.7449576,0.7085141,1.4576054015761084,1.3530801836268356,1.342358229889389,1.4114045266997417
2017,0.6791159,0.74284387,0.76082337,0.6991212,1.4725027238799355,1.3461779053462242,1.314365515980339,1.4303671990169582
2018,0.7250542,0.71484286,0.7379824,0.71839714,1.3792072287054895,1.3989088534689984,1.355045879710434,1.391987723252807
2019,0.69024765,0.736946,0.6858523,0.6887638,1.448755374798561,1.356951551379168,1.458039895393046,1.4518765416308144
2020,0.6697496,0.7500587,0.74206126,0.66639954,1.4930952907720476,1.3332289671474584,1.3475976411360833,1.50060127926468
2021,0.6586359,0.75540894,0.7546061,0.68052775,1.5182895105617815,1.323786287764252,1.325194645577989,1.469447799714838
2022,0.6762716,0.76100475,0.72967046,0.6998158,1.478695799516215,1.3140522517217683,1.3704816735459435,1.428947426024156
