Year,Control Words,Sentence With Control Words,Context Words
1979,图书馆,16,"['夕阳', '的', '残照', '中', '我', '又', '走', '到', '大', '前', '草坪', '附近', '去', '散步']"
1979,图书馆,17,"['北京', '何时能', '有个', '变化']"
1979,图书馆,18,"['活动', '之外', '经常', '都', '在', '普林斯顿', '高级', '研究所', '的', '里', '阅读', '和', '做', '科学研究', '工作']"
1979,图书馆,19,"['适应', '农村', '读者', '的', '需要', '从', '一九七七年', '开始', '这个', '又', '增办', '了', '流动', '图书', '箱', '活动']"
1979,图书馆,20,"['天津', '广州', '武汉', '等', '地', '几十个', '科研单位', '大专院校', '和']"
1979,图书馆,21,"['有些', '青年工人', '连', '一张', '厂', '的', '借阅', '证都', '没有', '技术', '科室', '的', '资料', '更']"
1979,图书馆,22,"['移来', '的', '植物', '还有', '现代化', '的', '植物', '博物馆', '标本室', '和', '试验室', '等']"
1979,图书馆,23,"['近年来', '北京', '每年', '图书', '入', '藏量', '大约', '为', '三十万', '册', '件']"
1979,图书馆,24,"['许多', '发达国家', '的', '现已', '普遍', '采用', '电子计算机', '设备', '检索', '书刊', '资料', '而', '采用', '电子计算机', '设备', '检索', '书刊', '资料', '而', '我国', '的', '工作', '仍停留', '在', '手工操作', '状态']"
1979,图书馆,25,"['的', '儿童', '教养', '机构', '解除', '了', '工人', '的', '后顾之忧', '书报', '广播电视', '影剧院', '体育场', '等', '文化', '服务设施', '丰富', '了']"
1979,图书馆,26,"['当前', '随着', '科研', '事业', '的', '发展', '的', '重要性', '越来越', '显示', '出来']"
1979,图书馆,27,"['和', '各省', '市', '自治区', '一级', '的', '出版社', '报刊', '儿童', '和', '教育', '文化', '科学', '共青团', '的', '领导', '机关', '在']"
1979,图书馆,28,"['共', '二万', '六千余', '册', '同时', '还', '展出', '了', '部分', '设备', '和视', '听觉', '教育', '器材']"
1979,图书馆,29,"['最使', '人', '感兴趣', '的', '是', '这里', '的', '藏书', '很多', '一天', '二十四', '小时', '开放']"
1979,图书馆,30,"['我', '还是', '老毛病', '喜欢', '一个', '人', '在', '里', '看书', '有时', '我', '也', '参加', '茶会', '但是', '不']"
1979,图书馆,31,"['在', '我国', '古代', '的', '叫', '藏书楼', '曾', '为', '保存', '古代', '文化遗产', '和', '珍贵']"
1979,图书馆,32,"['山西省', '发现', '了', '金代', '皇统', '九年', '一一', '四九年', '太原', '府']"
1979,图书馆,33,"['电子计算机', '中心', '可以', '动用', '全', '加拿大', '二百五十', '三个', '主要', '的', '全部', '科技', '书刊']"
1979,图书馆,34,"['理科', '大楼', '内燃', '热能', '液压', '工业', '电子装置', '等', '实验室', '以及', '大', '金工', '车间', '等', '设施', '以', '进一步', '改善']"
1979,图书馆,35,"['市内', '还', '设有', '拥有', '古代', '珍本', '图书', '的', '一些', '和', '皇家', '军械', '博物馆', '大炮', '博物馆', '汽车', '博物馆', '爬山']"
1979,图书馆,36,"['这个', '小学', '四年级', '学生', '是', '我们', '的', '老', '读者', '和', '我', '很', '熟', '了']"
1979,图书馆,37,"['我们', '访问', '了', '不少', '工厂', '机关', '学校', '公园', '医院', '博物馆', '在', '同', '在', '那里', '工作', '的', '教师', '工人']"
1979,图书馆,38,"['市内', '还有', '近', '六十个', '艺术馆', '博物馆', '等']"
1979,图书馆,39,"['北京', '建于', '一九一二年', '可说是', '一位', '年', '近', '七十', '的', '知识']"
1979,图书馆,40,"['有', '一座', '上', '百万册', '的', '圣保罗市']"
1979,图书馆,41,"['上海图书馆', '是', '我国', '最大', '的', '之一']"
1979,图书馆,42,"['我们', '印象', '最深', '的', '是', '教材', '编辑', '部门', '资料', '印刷', '车间', '以及', '正在', '兴建', '的', '电视', '广播', '生产']"
1979,图书馆,43,"['的', '三面', '墙上', '是', '高大', '的', '书架', '上面', '放满']"
1979,图书馆,44,"['如', '时局', '好转', '首先', '恢复', '书店', '继办', '和', '日报', '愿', '始终', '为', '进步', '文化', '事业', '努力']"
1979,图书馆,45,"['答', '北京', '的', '藏书量', '已', '由', '解放', '时', '的', '一百四十', '万册']"
1979,图书馆,46,"['粉碎', '四人帮', '以后', '广大', '工作者', '积极响应', '华国锋', '同志', '关于', '发展', '各种类型', '的', '工作者', '积极响应', '华国锋', '同志', '关于', '发展', '各种类型', '的', '组成', '为', '科学研究', '和', '广大群众', '服务', '的', '网', '的', '组成', '为', '科学研究', '和', '广大群众', '服务', '的', '网', '的', '号召', '为', '迅速', '改变', '我国', '事业', '的', '网', '的', '号召', '为', '迅速', '改变', '我国', '事业', '的', '落后面貌', '奋发图强', '努力', '工作']"
1979,图书馆,47,"['抵京', '后', '美国', '客人', '参观', '了', '介绍', '了', '美国', '的', '工作', '经验', '并', '就', '后', '美国', '客人', '参观', '了', '介绍', '了', '美国', '的', '工作', '经验', '并', '就', '美国国会', '与', '北京', '了', '美国', '的', '工作', '经验', '并', '就', '美国国会', '与', '北京', '进一步', '加强', '联系', '和', '合作', '同', '的', '工作', '经验', '并', '就', '美国国会', '与', '北京', '进一步', '加强', '联系', '和', '合作', '同', '刘', '季平', '馆长']"
1979,图书馆,48,"['我们', '认为', '北京', '扩建', '新馆', '工程', '不论', '在经济上', '还是', '在政治上', '都', '有']"
1979,图书馆,49,"['一个', '百分之三十', '要', '拨作', '工人', '福利费', '例如', '作为', '给', '买', '书', '增加', '托儿所', '的', '设备', '扩建', '文化', '之家']"
1979,图书馆,50,"['粉碎', '四人帮', '后', '束鹿县', '积极', '恢复', '各项', '业务', '活动']"
1979,运输,1,"['按', '专业化', '协作', '原则', '搞好', '汽车']"
1979,运输,2,"['研究', '新', '情况', '解决', '新', '问题', '改善', '工作']"
1979,运输,3,"['总统', '齐奥塞斯库', '三月', '六日', '在', '罗马尼亚', '全国', '工业', '建筑', '和', '农业部门', '领导', '干部', '会议', '上作', '报告', '时', '谈到']"
1979,运输,4,"['下', '了', '一条', '禁令', '不准', '私人', '喂', '小驴', '搞']"
1979,运输,5,"['过去', '由于', '组织', '工作', '薄弱', '车流', '不', '均衡', '有时', '车少', '造成']"
1979,运输,6,"['西雅图市', '市长', '查尔斯', '罗耶', '美国农业部', '长', '罗伯特', '伯格', '兰', '部长', '布罗克', '亚当斯', '美国', '驻', '中国', '联络处', '主任', '伍德']"
1979,运输,7,"['例如', '有些', '活路', '由', '大队', '统一', '联系', '统一', '组织']"
1979,运输,8,"['动力', '照明', '取暖', '哪', '一样', '都', '离不开', '石油']"
1979,运输,9,"['工作', '搞', '得', '好', '社会', '物质', '生产', '的', '经济']"
1979,运输,10,"['工业', '需要', '的', '资金', '燃料', '动力', '原料', '材料', '和', '力量', '等', '都', '给予', '较', '多', '的', '扶持']"
1979,运输,11,"['好', '发挥', '自备', '汽车', '的', '作用', '动辄', '找', '专业', '公司', '运货']"
1979,运输,12,"['两个', '火车站', '三个', '码头', '四个', '货场', '的', '物资', '装卸', '武昌', '洪山', '两区', '人民', '吃粮', '烧煤', '任务', '以及', '物资', '装卸', '武昌', '洪山', '两区', '人民', '吃粮', '烧煤', '任务', '以及', '武昌', '鄂城', '两县', '的', '支农', '任务', '烧煤', '任务', '以及', '武昌', '鄂城', '两县', '的', '支农', '任务']"
1979,运输,13,"['粮食', '轻纺', '工业品', '和', '农用物资', '等', '重点', '物资', '的', '任务', '都', '完成', '得', '很', '好']"
1979,运输,14,"['冲绳', '美军', '进行', '确保', '石油', '通道', '的', '演习']"
1979,运输,15,"['的', '收获', '工作', '虽', '已', '接近', '完成', '但是', '由于', '工作', '组织', '不好', '各地', '挖出', '的', '大量', '甜菜', '目前']"
1979,运输,16,"['过去', '因为', '任务', '少', '而', '被', '用来', '搞', '非法', '投机倒把', '的', '情况', '现在', '在', '组织', '起来', '之后', '也']"
1979,运输,17,"['要', '积极', '发展', '农业', '机械', '和', '装卸', '机具']"
1979,运输,18,"['要', '努力', '增加', '产量', '交通运输', '战线', '要', '不断', '提高', '效率', '节约', '燃料', '争', '时间', '抢', '速度', '安全', '正点']"
1979,运输,19,"['本报讯', '常年', '在', '青藏高原', '执行', '任务', '的', '兰州', '部队', '某部', '汽车团', '在', '高寒', '缺氧']"
