Year,友善,关心,保护,同情,欺负,伤害,折磨,践踏,公平,权利,一致,平等,排外,作假,不公,歧视,忠心,同胞,爱国,团结,汉奸,背叛,变节,不忠,权威,服从,尊崇,合法,反叛,违抗,犯上,颠覆,崇高,纯净,神圣,清白,玷污,传染,罪恶,肮脏
1990,5.041200830090075,99.52488382104764,23.275273200065826,41.175328711797206,53.949116951711574,25.795908360107017,33.436306331636054,25.765715814420336,8.894669983989674,37.89739126132475,79.56571596599107,54.81794791963757,15.338540638509954,7.493123827759786,16.859156379080115,37.32549273653032,21.028633625803902,42.21068464580208,72.25625058156771,63.108742389505124,26.470312994037492,47.213485681979606,38.37456626541233,0.0,17.206769764659995,51.17388429779402,4.65426379019761,48.10850438395079,24.87553376132622,15.979949000054635,31.063042728512606,52.13227079420185,75.96826993479259,79.87639558760384,48.96631084972581,11.996277117785501,60.798165247280345,11.543046683268159,28.425870817404874,47.632540288624384
1991,3.91650105726883,100.0,25.124132583853875,42.39818348215791,67.6490280389457,32.60876086158632,35.9849201124277,18.60197661837875,8.009271855784716,48.17032693360349,86.70981711706135,66.49136685060245,27.104169429654444,10.34914881338103,13.494756893931225,36.46375694645684,21.782816860299082,61.153221491030166,54.14083997051756,52.015887388238326,28.725357890971665,56.43089744903435,19.875427094491787,0.0,16.649855184669153,63.45340913158084,11.708597080484987,53.43823435363375,11.043293346735615,27.58843875286124,0.0,32.10928129792979,74.31127919508283,43.80412734471219,53.041208668031025,16.568691503345573,39.361666412511596,11.544721779085096,19.497598541685583,20.691329064645924
1992,3.8800416460038525,87.78026720152413,30.284642987894795,27.666970240044414,34.966576223723095,31.856516720108864,31.63931290395593,20.565480810352234,12.70747126845999,48.2124996940105,72.67101122035382,57.191529609961556,100.0,28.19521850651121,18.087648878828517,39.86130680124386,10.790018354313185,34.835762726520734,36.02473869907789,39.463016674309245,20.696689730048153,24.22574790853476,29.53560476472309,0.0,22.839035115440424,65.20541964538953,5.458635128863944,36.63935866400234,10.940489346950871,16.39896781500815,31.87756343523746,6.747654292366417,45.83855794859915,38.57453054348063,38.190214892901736,23.253804988953338,28.596510503259353,6.944044577303085,14.585620412387055,33.11330039568952
1993,5.602305895708649,90.71284543091555,29.31373249497779,26.90185849190304,29.127382067287222,40.589911650675,28.95420466494441,18.42157767106661,21.111173912870974,39.14335616739905,72.64250164459425,53.93631671154691,72.19388871094459,17.935372786504843,19.65277490268744,32.997194479760275,8.089338990395792,44.10798865047404,35.01031122187426,35.348712216215056,27.153748398614685,21.422061912944883,0.0,39.03069197016488,24.3098022217677,71.42461388117276,10.230925595370307,49.971377390753,40.09939003351157,21.856712444511885,31.865057543348442,6.74500711905732,56.40790485019349,48.199246704224535,54.249014582147794,28.714019293342762,36.381280474965266,10.207824056015644,17.732308774093173,18.91446269236605
1994,6.4260119956416,98.09464353886011,31.214803672714925,27.414633935140543,32.57472678199574,43.26213615648945,26.15392752507973,11.196655804129062,24.398983025588247,36.14771748993071,70.19088241773534,65.4099864573041,18.11436902351749,7.163606235632547,16.850383537315487,45.83806977168719,25.129848116642904,54.746566247544656,55.18838902519513,33.83767722033821,12.05059742149297,12.152329961148158,0.0,0.0,37.923848437031545,87.48024193800669,8.899175798007969,36.73645526019809,13.589489919670624,20.369619744400723,0.0,4.041056935305638,62.760503186587904,56.89848146698946,62.86312913278276,24.21176094649042,53.28079652992462,9.13276940290054,16.893074066870792,24.972370359722042
1995,6.871811416239841,90.51250329640527,30.71493058124728,36.28230350811801,46.44609638310355,41.48062457128542,38.71172750592919,14.474528122230105,19.73217638828062,44.11162898150881,70.70285870525386,82.47899743171638,17.710664068044945,44.942043896454955,23.190139768160005,52.36864986402851,19.3487120240796,49.97412378748595,88.36605326552768,35.46085669416316,100.0,47.52599073288387,15.692855221036748,93.35665373003815,31.601131138113086,61.76964331264997,9.788450370030528,40.83167156167945,11.625799893832278,21.782745752571778,25.40577677891776,8.066617093309713,66.97608234827821,67.89106735878863,75.29111320918642,31.61480168496766,72.51632053549399,13.998432053732287,38.64342876297589,30.160724888176304
1996,6.25076715200289,98.3786877449951,32.60357738637963,37.683288955867056,49.289918193163366,49.69464300352885,27.998208028570232,17.64123288795906,20.183466674465738,36.28459395665912,68.97388920647774,66.01698172840416,20.137564626531464,18.581990230932398,21.537740417635195,28.09483746328163,19.55562227382982,46.52315896599898,60.05118058460106,37.081584789743275,28.132712572102747,36.025666274523935,7.930335329777358,0.0,34.409020081574155,55.19646725632417,4.946562795606867,45.39514668279281,5.875061633869392,30.821958923759368,51.354919505076055,10.288157418101603,100.0,69.91173915817079,71.70164070891708,45.17476478091792,60.72748462628168,18.754494934970605,24.767645563735204,29.213120408508193
1997,10.905083934372014,94.23486360823905,29.147593426972136,46.523237786601975,48.37002540543076,45.22049164990691,28.884689532502883,13.300680108873179,20.702805876165495,35.642673097156305,69.20403101877332,69.76319338809509,13.906409124719122,8.104531740198826,32.3253162984176,36.43245480154093,25.58754354855352,87.39880701167269,62.964616570822294,45.14784999709613,8.180051729118315,16.9401338832528,15.564664557634462,0.0,34.10117322691831,59.25890312452159,8.62976994039048,48.10686809003004,77.8331153150509,4.320961686163033,75.59473170820527,7.429242872674487,84.13421575241283,69.87748309161834,77.85378615356679,42.16915206868225,51.37425317768711,10.655226236679532,14.645567253581431,28.66791887935089
1998,10.96253325766715,82.86089202263709,33.04110632699048,33.37739642495119,30.10109430584799,42.42813751047614,29.036857629256552,13.58298385008839,24.8415041026945,35.47603711723169,67.60739271652416,50.991859894639916,13.979669798225938,34.62571649299977,43.11917486091414,23.261434004549177,6.430585468693548,52.956251037280985,35.46502459024646,32.375436805996685,7.1952520916730185,14.067745880249571,7.823330562348708,0.0,29.827676354078992,58.95055416485535,7.590828551024857,48.73040533169781,43.46841652144533,13.031175131178552,0.0,9.957841383721027,68.43460488320184,75.35437763103229,52.25201122292378,100.0,53.710695023996195,14.930985661490318,18.481714729315733,22.553956957809028
1999,15.082453063380393,82.0977345646377,40.242885480271944,39.196782357408274,81.08963336037436,64.57195591576154,22.676399376246845,58.18675442553241,26.848584412809906,43.72425919451357,60.50673872027402,60.15747902983287,9.570729132873474,42.79839695895276,56.90115781772239,37.141398308224574,10.724020235432105,87.34952596371217,53.86571583416557,36.556762866804796,13.37056276635552,62.231255106404696,15.655972041901208,0.0,46.4075356722417,51.845267859621515,21.158462892685606,70.23822936920168,28.99618895651666,17.38523952178925,0.0,9.77215612917366,66.26644695454156,70.28740758207955,100.0,52.204960369209566,62.010757901922794,8.44427474292283,51.716908433207195,15.044918816933006
2000,10.531841412844802,93.98367347901898,41.739724539175924,32.704054771605236,29.851348583544144,60.99268852572297,23.528391446686484,21.257797007400534,27.033116570655118,43.968333413022414,63.26463004378845,76.79212138687865,37.213040883366105,54.5375071693204,42.76141944639778,42.21033015794609,10.628719256946898,42.72964197156848,36.90565615541174,32.15265524355866,10.19364830834063,54.33557970455956,23.27526354969705,30.769851616883965,40.74568277660751,46.615312009085464,9.140958549800656,57.012556593067565,14.369254494780497,30.15379918739522,25.120822687995986,11.96421149349461,55.82592428647963,51.930440178546334,73.31523159836047,76.53360892495613,69.65431294774245,20.923082855279088,29.822438756764498,29.822438756764498
